Date,Latitude,Longitude,WS2M,T2M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,FIRE
20060321,-74.41446108,49.05712661872653,0.82,-6.49,-4.01,-7.81,-7.06,99.63,95.25,23.31,10.06,7.71,0
20040305,-90.3863719,43.884156360929865,5.39,0.02,2.13,-2.38,-1.17,92.08,96.57,25.67,6.26,3.74,0
19950626,-94.60534391,38.835776287432616,3.21,19.84,23.2,17.55,18.34,91.2,97.76,34.59,11.51,11.52,0
20110607,-108.430811,35.35364055225814,3.2,18.06,27.71,7.75,-9.08,17.64,78.45,22.69,33.86,4.13,0
20060315,-116.5013968,37.478078,2.13,1.53,9.43,-5.4,-12.19,41.43,82.36,19.38,22.14,3.53,0
19930113,-86.1650403,37.37703687245652,3.11,2.2,9.73,-5.1,-1.32,78.17,99.56,26.45,4.37,3.78,0
19961026,-106.1466327,36.79829747776845,0.93,-5.55,-1.31,-10.34,-9.14,79.06,72.16,22.19,6.62,6.73,0
20050205,-71.54256549,30.19944226385811,10.01,18.64,19.74,16.75,13.75,73.19,101.07,30.54,14.16,7.01,0
20141223,-86.26007572,46.40221073584693,3.08,0.36,1.11,-0.65,-0.04,97.12,97.96,25.23,0.57,0.55,0
19961101,-77.42905423,33.43288997293365,7.07,24.32,24.94,23.53,18.49,69.87,101.28,30.86,12.3,6.44,0
20190221,-91.07694613,33.66883247,3.01,6.32,9.22,2.85,5.64,94.34,101.37,27.52,2.63,2.26,0
19870717,-81.96302796,47.16292401371189,0.04,19.65,25.79,11.17,15.02,75.46,96.67,33.37,8.56,7.3,0
19961106,-70.34464276,40.64510723112147,3.08,12.01,12.8,11.55,11.33,95.49,103.04,29.85,6.18,5.38,0
20210829,-93.32908092,34.51816800512939,0.16,29.04,36.23,22.97,20.92,65.87,99.29,35.55,19.72,8.1,0
20131113,-99.60180584,25.89590896166783,3.01,11.26,14.06,8.63,3.8,61.22,100.51,30.34,5.68,4.61,0
20220219,-99.29197845,49.043022694168926,5.11,-10.58,1.54,-28.7,-11.62,92.99,94.48,19.6,8.56,7.96,0
20060124,-72.09819286,33.979015931191114,9.12,19.87,20.4,19.07,17.73,87.43,101.21,33.33,4.28,3.63,0
19881226,-66.3524954,41.708160572950135,11.89,3.21,6.79,0.64,-1.64,70.38,101.83,27.11,3.79,3.3,0
19921122,-121.3011133,35.18279121805999,5.62,15,15.75,14.28,11.59,80.52,101.31,27.72,8.15,6.47,0
20230211,-69.44635786,42.03172925471852,8,4.99,6.28,4.53,-1.51,62.94,102.01,21.02,12.55,3.19,0
19870315,-88.14417923,29.973519413211267,3.03,17.42,17.9,16.64,13.04,75.47,101.86,-999,18.49,14.72,0
20151217,-120.5985572,47.62418264350104,0.57,-7.81,-6.75,-8.54,-8.72,97.01,89.55,22.79,1.01,0.96,0
20220306,-88.23819039,34.18791426976983,0.11,19.45,24.56,15.29,17.26,88.11,100.29,32.3,14.17,7.81,0
19890903,-97.14403046,37.72000973383166,3.27,24.62,29.44,19.8,21.43,83.43,97.1,35.36,20.62,12.32,0
20071108,-73.84391053,38.401441217184356,3.51,10.24,11.08,9.89,3.42,62.55,102.15,28.18,8.53,5.8,0
20141105,-65.32861676,27.097189720036138,8.52,25.61,25.94,24.8,22.28,81.77,101.77,35.64,7.52,6.43,0
20221028,-113.9884105,39.062158166825526,1.25,5.08,13.94,-1.4,-9.63,35.63,82.68,21.01,14.92,2.2,0
20010717,-95.21684559,44.928931998604966,1.24,28.32,34.7,21.37,20.51,66.62,97.07,34.46,25.54,10.63,0
19860210,-68.8156969,25.68179973294021,3.65,24.43,24.7,24.21,18.46,69.3,101.96,-999,17.74,5.5,0
20021028,-98.6737929,42.51327919147111,2.69,3.1,9.16,-1.04,0.8,86.29,94.37,27.05,3.15,2.58,0
20120316,-76.42777996,41.58616897464603,0.44,9.38,15.74,5.18,8.81,93.89,96.85,28.15,11.83,6.98,0
20090208,-119.1653914,33.76401657248223,3.64,13.01,13.57,12.22,9.15,77.41,101.34,27.59,13.55,5.14,0
19910924,-115.9127937,37.810489452954656,1.77,17.08,26.41,7.3,-5.27,22.55,82.29,26.06,21.6,7.23,0
20160808,-85.73654159,40.154935910452835,2.66,24.57,30.96,18.56,15.42,59.58,98.21,32.48,25.69,5.69,0
20200130,-108.529403,31.863528845440598,2.04,5.78,13.56,-1.26,-3.45,54.32,85.48,22.26,16.72,2.09,0
20200102,-120.69212,40.912693487940686,1.24,-0.05,5.12,-2.65,-2.74,84.29,83.12,20.96,7.89,5.17,0
19850920,-116.0949835,33.93057771693057,2.01,18.64,26.98,11.43,3.63,40.43,91.14,27.34,23.5,5.85,0
19960323,-119.1008974,27.84011706875576,5.79,15.15,15.71,14.42,11.64,79.44,101.61,31.58,21.02,13.81,0
20080910,-107.7626578,40.943653543549715,3.45,13.07,19.69,7.73,7.09,70.61,78.12,29.52,14.61,8.92,0
20030219,-80.66640858,40.20989346156834,0.41,-2.9,0.11,-7.18,-3.25,99.18,98.15,24.93,5.74,4.59,0
20191115,-70.61604313,30.033870988903843,5.81,24.36,24.86,23.86,19.71,75.27,101.83,33.49,11.52,6.78,0
20030308,-120.3818408,41.33870315704439,2.88,4.7,12.17,0.27,-0.49,74.8,84.16,21.79,17.97,5.42,0
20190528,-74.31056306,33.49710522612027,3.14,25.79,26.23,25.31,22.94,84.31,101.35,33.99,26.85,8.14,0
19850725,-69.55670621,38.32543096096085,4.79,25.38,25.95,24.15,21.43,78.81,102.62,-999,24.16,15.47,0
20130726,-109.4825098,27.746223110995004,1.73,30.54,37.37,25.79,21.04,59.78,97.51,37,26.78,6.15,0
20180209,-125.5326356,37.82330591772881,7.75,13.4,13.62,13.18,11.42,87.68,102.11,25.81,14.62,3.78,0
